init_read_globalStats,se halo diag obd,se halo diag,se bcl vel,se btr vel,se thick tend,se halo thickness,se tracer tend,se halo tracers,se loop fini,diagnostic solve,gm bolus velocity,vmix imp,se vmix halos,diagnostic solve,gm bolus velocity,se final mpas reconstruct,reconstruct gm vecs
2e-05,1.21496,0.15971,4.553056666666667,6.042563333333334,4.757136666666667,0.32892666666666664,5.8382266666666665,7.080103333333334,5.3678,3.085433333333333,2.3358033333333332,0.46397666666666665,3.0036799999999997,3.0449966666666666,2.47325,1.29316,4.9401
2e-05,1.88903,0.88383,5.26203,7.374023333333334,2.9597866666666666,0.2969033333333333,1.5834766666666666,8.082676666666668,8.76187,7.464873333333334,7.5688666666666675,5.800303333333333,3.4393366666666663,7.520866666666667,7.790136666666666,0.7594733333333332,2.863383333333333
2e-05,1.9358899999999999,1.40578,6.66551,7.404926666666667,2.31502,0.4199566666666667,6.0162233333333335,0.6187533333333333,5.9654799999999994,5.530853333333333,6.1516166666666665,3.2694333333333336,3.492976666666667,5.383163333333333,6.428603333333334,0.7019333333333333,2.031336666666667
3e-05,1.949393333333333,2.549846666666667,8.688463333333333,4.12436,1.2800399999999998,0.37736666666666663,9.285293333333334,7.027936666666666,3.2158766666666665,3.304316666666667,3.3064466666666665,1.7861966666666664,4.078973333333333,3.2485466666666674,3.575836666666666,0.40965999999999997,1.0862566666666666
3e-05,1.52428,1.24934,4.311699999999999,7.572226666666666,0.64707,0.3324533333333333,9.309643333333334,3.019356666666667,1.66637,1.4644033333333333,1.6734366666666667,1.0089066666666666,3.4476866666666663,1.6809866666666666,1.8274466666666667,0.2008466666666667,0.5554
3.6666666666666666e-05,0.6575366666666667,0.6870266666666667,2.0608166666666663,3.079466666666667,0.31036,0.2776533333333333,4.53026,2.3506066666666663,0.8115766666666667,0.7046233333333333,0.8557600000000001,0.5301433333333333,1.4200100000000002,0.6917166666666666,0.8666666666666667,0.10239666666666668,0.34079333333333334
4e-05,0.3843433333333333,0.4214366666666667,0.9522966666666667,1.3638933333333332,0.1474633333333333,0.1321433333333333,2.0988466666666663,1.05014,0.42615333333333333,0.3390433333333333,0.43719,0.29213333333333336,0.8309233333333333,0.3447766666666667,0.4565433333333333,0.05298,0.13434000000000001
4e-05,0.21733666666666665,0.24904666666666667,0.4420233333333334,0.8388299999999999,0.05878333333333333,0.04104333333333333,0.9487366666666667,0.43357,0.23183666666666666,0.15990000000000001,0.22722333333333333,0.16052,0.44147000000000003,0.1537666666666667,0.21969333333333338,0.021900000000000003,0.05512999999999999
4.333333333333334e-05,0.09921,0.21616999999999997,0.2153533333333333,0.6055533333333334,0.025406666666666664,0.015593333333333334,0.4570266666666667,0.23843666666666666,0.12265999999999999,0.08085666666666667,0.12661666666666666,0.08887333333333332,0.23798,0.07984000000000001,0.11864000000000001,0.011456666666666665,0.023789999999999995
4.666666666666667e-05,0.07197333333333333,0.11770666666666667,0.13028333333333333,0.5587633333333333,0.015050000000000001,0.014220000000000002,0.24499,0.13563333333333333,0.06303666666666667,0.04288333333333333,0.06747333333333333,0.05181666666666666,0.14503666666666667,0.041596666666666664,0.06581666666666668,0.006993333333333333,0.011816666666666665
